"内部序号","分组一","分组二","分组三","分组四","分组五","类型","测量量程最小值","测量量程最大值","单位","断线上限","断线下限","设定上限","设定下限","阶码","报警方式","报警级别","报警延时","参数补偿编号","回差值","曲线编号","多点编号","网关IP","系统编号","分系统编号","站名称","站ID","IO模块类型","IO模块ID","点号","1/0有效","满量程上限","满量程下限","滤波标志","滤波次数","平均值处理标志","精度","斜率参数(A)","偏移参数(B)","刷新时间","A/D增益值","使用","开关状态","有报警","折线编号","1级报警","2级报警","3级报警","网关显示","参数类别","封装盒","选择","特殊ID标识","平均值与限值标志","OPC标志","安全标志","备份1","备份2","备份3","备份4","备份5","局域网","vdr","导航","备份6","备份7","备份8","备份9","备份10","测点名称","测点名称_en","简称","简称_tmp","测点号"
14,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,8,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,14,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号伙食冷藏海水冷却泵故障报警",,"2号伙食冷藏海水冷却故障",,"1412"
15,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,9,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,15,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号柜式空调海水冷却泵运行指示",,"1号柜式空调海水冷却泵运",,"1413A"
16,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,10,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,16,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1号柜式空调海水冷却泵故障报警",,"1号柜式空调海水冷却故障",,"1413"
17,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,11,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,17,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号柜式空调海水冷却泵运行指示",,"2号柜式空调海水冷却泵运",,"1414A"
18,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,12,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,18,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号柜式空调海水冷却泵故障报警",,"2号柜式空调海水冷却故障",,"1414"
19,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,14,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,19,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"应急消防泵运行指示",,"应急消防泵运行指示",,"1601A"
20,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,15,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,20,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"应急消防泵故障报警",,"应急消防泵故障报警",,"1601"
21,1,0,0,0,1,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,16,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,21,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"CO2泄漏报警",,"CO2泄漏报警",,"1602"
22,1,0,0,0,1,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,17,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,22,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"CO2电源失电报警",,"CO2电源失电报警",,"1603"
23,1,0,0,0,1,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,18,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,23,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"CO2施放报警",,"CO2施放报警",,"1604"
24,1,0,0,0,1,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,19,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,24,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"火灾探测及报警系统综合故障",,"火灾探测及报警综合故障",,"1608"
25,1,0,0,0,1,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,20,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,25,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"火灾探测及报警系统机舱火警",,"火灾探测及报警机舱火警",,"1609"
26,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,22,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,26,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"变频海水供水装置综合报警",,"变频海水供水装置综合报警",,"1707"
27,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,23,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,27,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"变频淡水供水装置综合报警",,"变频淡水供水装置综合报警",,"1708"
28,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,24,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,28,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"变频饮水供水装置综合报警",,"变频饮水供水装置综合报警",,"1709"
29,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,25,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,29,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"海水淡化装置供水泵运行",,"海水淡化装置供水泵运行",,"1710"
30,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,26,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,30,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"海水淡化装置供水泵故障报警",,"海水淡化装置供水泵故障",,"1711"
31,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,27,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,31,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"海水淡化装置运行指示",,"海水淡化装置运行指示",,"1712"
32,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,28,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,32,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"海水淡化装置综合报警",,"海水淡化装置综合报警",,"1714"
33,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,29,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,33,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"应急发电机日用油柜液位低",,"应急发电机日用油柜液位低",,"1817"
34,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,30,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,34,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"辅机舱左舷舭污水沟高液位报警",,"辅机舱左舷舭污水沟高液位",,"1825"
35,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,31,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,35,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"辅机舱右舷舭污水沟高液位报警",,"辅机舱右舷舭污水沟高液位",,"1826"
36,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,32,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,36,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"辅机舱直通吸口高液位报警",,"辅机舱直通吸口高液位报警",,"1829"
37,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,1,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,37,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"污水处理装置间污水井液位高",,"污水处理装置污水井液位高",,"1835"
38,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,2,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,38,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"冷水机组室及空调器室污水井液位高",,"冷水机及空调室污水液位高",,"1836"
39,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,3,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,39,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"储物舱液位高",,"储物舱液位高",,"1837"
40,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,4,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,40,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"侧推舱液位高",,"侧推舱液位高",,"1838"
41,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,5,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,41,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"隔离空舱液位高",,"隔离空舱液位高",,"1839"
42,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,6,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,42,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"锚链舱污水井液位高",,"锚链舱污水井液位高",,"1840"
43,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,7,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,43,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"污水舱(左)液位高",,"污水舱(左)液位高",,"1844"
44,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",1.00000000e+01,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,8,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,44,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"污水舱(右)液位高",,"污水舱(右)液位高",,"1845"
46,0,0,0,0,1,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,10,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,46,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"艏侧推运行指示",,"艏侧推运行指示",,"1901"
47,1,1,0,0,1,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,11,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,47,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"艏侧推综合报警",,"艏侧推综合报警",,"1902"
48,1,1,0,0,1,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,12,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,48,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"机舱水密门综合报警",,"机舱水密门综合报警",,"1903"
49,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,13,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,49,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号辅机舱风机正转运行指示",,"1号辅机舱风机正转指示",,"1916"
50,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,14,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,50,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号辅机舱风机反转运行指示",,"1号辅机舱风机反转指示",,"1917"
51,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,15,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,51,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1号辅机舱风机故障报警",,"1号辅机舱风机故障报警",,"1918"
52,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,18,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,52,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"生活污水处理装置运行指示",,"生活污水处理装置运行指示",,"1922"
53,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,19,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,53,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"生活污水处理装置综合报警",,"生活污水处理装置综合报警",,"1923"
54,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,20,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,54,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号生活污水驳运泵运行指示",,"1号生活污水驳运泵运行",,"1923A"
55,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,21,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,55,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1号生活污水驳运泵故障报警",,"1号生活污水驳运泵故障",,"1923B"
56,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,22,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,56,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号生活污水驳运泵运行指示",,"2号生活污水驳运泵运行",,"1924"
57,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,23,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,57,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号生活污水驳运泵故障报警",,"2号生活污水驳运泵故障",,"1925"
58,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,24,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,58,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"中央空调冷水机组运行指示",,"中央空调冷水机组运行指示",,"1926"
59,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,25,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,59,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"中央空调冷水机组综合报警",,"中央空调冷水机组综合报警",,"1927"
60,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,26,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,60,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"间接空调装置1风机运行指示",,"间接空调装置1风机运行",,"1928"
61,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,27,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,61,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"间接空调装置1风机综合报警",,"间接空调装置1风机综合",,"1929"
62,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,28,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,62,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"间接空调装置2风机运行指示",,"间接空调装置2风机运行",,"1930"
63,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,29,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,63,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"间接空调装置2风机综合报警",,"间接空调装置2风机综合",,"1931"
64,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,30,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,64,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"伙食冷藏装置运行指示",,"伙食冷藏装置运行指示",,"1932"
65,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",2,31,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,65,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"伙食冷藏装置综合报警",,"伙食冷藏装置综合报警",,"1933"
66,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",3,1,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,66,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"减摇鳍（左）运行指示",,"减摇鳍（左）运行指示",,"1934"
