"内部编号","页面名称","页面名称_en","页码","序号","页面编号","测点号","测点名称","属性","系统编号","站ID","IO模块ID","点号","图片索引"
7,"左主机2",,2,27,3001,"0156","左主机增压器转速",,1,3,2,24,
7,"左主机2",,2,28,3001,"0157","左主机转速信号偏差",,1,3,2,25,
7,"左主机2",,2,29,3001,"0158","左主机曲柄箱油雾浓度高",,1,3,2,26,
7,"左主机2",,2,30,3001,"0159","左主机曲柄箱油雾浓度高停机",,1,3,2,27,
7,"右主机1",,4,1,3001,"0201","右主机报警切断",,1,5,1,1,
7,"右主机1",,4,2,3001,"0202","右主机增压空气压力",,1,5,1,2,
7,"右主机1",,4,3,3001,"0203","右主机增压空气温度",,1,5,1,3,
7,"右主机1",,4,4,3001,"0204","右主机1号缸排气温度",,1,5,1,4,
7,"右主机1",,4,5,3001,"0205","右主机2号缸排气温度",,1,5,1,5,
7,"右主机1",,4,6,3001,"0206","右主机3号缸排气温度",,1,5,1,6,
7,"右主机1",,4,7,3001,"0207","右主机4号缸排气温度",,1,5,1,7,
7,"右主机1",,4,8,3001,"0208","右主机5号缸排气温度",,1,5,1,8,
7,"右主机1",,4,9,3001,"0209","右主机6号缸排气温度",,1,5,1,9,
7,"右主机1",,4,10,3001,"0210","右主机7号缸排气温度",,1,5,1,10,
7,"右主机1",,4,11,3001,"0211","右主机8号缸排气温度",,1,5,1,11,
7,"右主机1",,4,12,3001,"0212","右主机9号缸排气温度",,1,5,1,12,
7,"右主机1",,4,13,3001,"0213","右主机排气温度平均值",,1,5,1,13,
7,"右主机1",,4,14,3001,"0214","右主机1号缸排气温度偏差",,1,5,1,14,
7,"右主机1",,4,15,3001,"0215","右主机2号缸排气温度偏差",,1,5,1,15,
7,"右主机1",,4,16,3001,"0216","右主机3号缸排气温度偏差",,1,5,1,16,
7,"右主机1",,4,17,3001,"0217","右主机4号缸排气温度偏差",,1,5,1,17,
7,"右主机1",,4,18,3001,"0218","右主机5号缸排气温度偏差",,1,5,1,18,
7,"右主机1",,4,19,3001,"0219","右主机6号缸排气温度偏差",,1,5,1,19,
7,"右主机1",,4,20,3001,"0220","右主机7号缸排气温度偏差",,1,5,1,20,
7,"右主机1",,4,21,3001,"0221","右主机8号缸排气温度偏差",,1,5,1,21,
7,"右主机1",,4,22,3001,"0222","右主机9号缸排气温度偏差",,1,5,1,22,
7,"右主机1",,4,23,3001,"0223","右主机增压器进口排气温度",,1,5,1,23,
7,"右主机1",,4,24,3001,"0224","右主机增压器出口排气温度",,1,5,1,24,
7,"右主机1",,4,25,3001,"0225","右主机燃油滤器压差高",,1,5,1,25,
7,"右主机1",,4,26,3001,"0226","右主机燃油进机压力",,1,5,1,26,
7,"左发电机",,9,1,3001,"0501","左发电机组转速",,1,3,6,1,
7,"左发电机",,9,2,3001,"0502","左发电机滑油压力",,1,3,6,2,
7,"左主机3",,3,1,3001,"0160","左主机滑油滤器旁通阀打开故障",,1,3,2,28,
7,"左主机3",,3,2,3001,"0161","左主机滑油滤器旁通阀断线故障",,1,3,2,29,
7,"左主机3",,3,3,3001,"0162","左主机主轴承1温度",,1,3,2,30,
7,"左主机3",,3,4,3001,"0163","左主机主轴承2温度",,1,3,2,31,
7,"左主机3",,3,5,3001,"0164","左主机主轴承3温度",,1,3,2,32,
7,"左主机3",,3,6,3001,"0165","左主机主轴承4温度",,1,3,3,1,
7,"左主机3",,3,7,3001,"0166","左主机主轴承5温度",,1,3,3,2,
7,"左主机3",,3,8,3001,"0167","左主机主轴承6温度",,1,3,3,3,
7,"左主机3",,3,9,3001,"0168","左主机主轴承7温度",,1,3,3,4,
7,"左主机3",,3,10,3001,"0169","左主机主轴承8温度",,1,3,3,5,
7,"左主机3",,3,11,3001,"0170","左主机主轴承9温度",,1,3,3,6,
7,"左主机3",,3,12,3001,"0171","左主机主轴承10温度",,1,3,3,7,
7,"右主机1",,4,27,3001,"0227","右主机燃油进滤器压力",,1,5,1,27,
7,"右主机1",,4,28,3001,"0228","右主机燃油温度",,1,5,1,28,
7,"右主机1",,4,29,3001,"0229","右主机高压油管泄露",,1,5,1,29,
7,"右主机2",,5,1,3001,"0230","右主机高温水压力",,1,5,1,30,
7,"右主机2",,5,2,3001,"0231","右主机高温水压力过低停机",,1,5,1,31,
7,"右主机2",,5,3,3001,"0232","右主机高温水空冷器进口温度",,1,5,1,32,
7,"右主机2",,5,4,3001,"0233","右主机高温水柴油机进口温度",,1,5,2,1,
7,"右主机2",,5,5,3001,"0234","右主机高温水柴油机出口温度",,1,5,2,2,
7,"右主机2",,5,6,3001,"0235","右主机高温水柴油机出口高温停机",,1,5,2,3,
7,"右主机2",,5,7,3001,"0236","右主机低温水压力",,1,5,2,4,
7,"右主机2",,5,8,3001,"0237","右主机低温水空冷器进口温度",,1,5,2,5,
7,"右主机2",,5,9,3001,"0238","右主机低温水空冷器出口温度",,1,5,2,6,
7,"右主机2",,5,10,3001,"0239","右主机滑油滤器压差高",,1,5,2,7,
7,"右主机2",,5,11,3001,"0240","右主机滑油液位低",,1,5,2,8,
7,"右主机2",,5,12,3001,"0241","右主机滑油进机压力",,1,5,2,9,
7,"右主机2",,5,13,3001,"0242","右主机滑油进滤器压力",,1,5,2,10,
7,"右主机2",,5,14,3001,"0243","右主机滑油进机压力低停车",,1,5,2,11,
7,"右主机2",,5,15,3001,"0244","右主机滑油进增压器压力",,1,5,2,12,
7,"右主机2",,5,16,3001,"0245","右主机滑油冷却器进口温度",,1,5,2,13,
7,"右主机2",,5,17,3001,"0246","右主机滑油柴油机进口温度",,1,5,2,14,
7,"右主机2",,5,18,3001,"0247","右主机监测系统故障",,1,5,2,15,
7,"右主机2",,5,19,3001,"0248","右主机超速停机",,1,5,2,16,
7,"右主机2",,5,20,3001,"0249","右主机转速",,1,5,2,17,
7,"右主机2",,5,21,3001,"0250","右主机安全控制空气压力",,1,5,2,18,
7,"右主机2",,5,22,3001,"0251","右主机安全停机命令故障",,1,5,2,19,
7,"右主机2",,5,23,3001,"0252","右主机安全系统故障",,1,5,2,20,
7,"右主机2",,5,24,3001,"0253","右主机停机执行",,1,5,2,21,
7,"右主机2",,5,25,3001,"0254","右主机停机撤销",,1,5,2,22,
7,"右主机2",,5,26,3001,"0255","右主机起动空气压力",,1,5,2,23,
7,"右主机2",,5,27,3001,"0256","右主机增压器转速",,1,5,2,24,
7,"右主机2",,5,28,3001,"0257","右主机转速信号偏差",,1,5,2,25,
7,"右主机2",,5,29,3001,"0258","右主机曲柄箱油雾浓度高",,1,5,2,26,
7,"右主机2",,5,30,3001,"0259","右主机曲柄箱油雾浓度高停机",,1,5,2,27,
7,"左齿轮箱",,7,1,3001,"0301","左齿轮箱主离合器工作油压力",,1,3,7,1,
7,"左齿轮箱",,7,2,3001,"0302","左齿轮箱对外水泵离合器工作油压力",,1,3,7,2,
7,"左齿轮箱",,7,3,3001,"0303","左齿轮箱滑油压力",,1,3,7,3,
7,"左齿轮箱",,7,4,3001,"0304","左齿轮箱滑油压力-报警",,1,3,7,4,
7,"左发电机",,9,3,3001,"0503","左发电机冷却水温度",,1,3,6,3,
7,"右主机3",,6,1,3001,"0260","右主机滑油滤器旁通阀打开故障",,1,5,2,28,
7,"右主机3",,6,2,3001,"0261","右主机滑油滤器旁通阀断线故障",,1,5,2,29,
7,"右主机3",,6,3,3001,"0262","右主机主轴承1温度",,1,5,2,30,
7,"右主机3",,6,4,3001,"0263","右主机主轴承2温度",,1,5,2,31,
7,"右主机3",,6,5,3001,"0264","右主机主轴承3温度",,1,5,2,32,
7,"右主机3",,6,6,3001,"0265","右主机主轴承4温度",,1,5,3,1,
7,"右主机3",,6,7,3001,"0266","右主机主轴承5温度",,1,5,3,2,
7,"右主机3",,6,8,3001,"0267","右主机主轴承6温度",,1,5,3,3,
7,"右主机3",,6,9,3001,"0268","右主机主轴承7温度",,1,5,3,4,
7,"右主机3",,6,10,3001,"0269","右主机主轴承8温度",,1,5,3,5,
7,"右主机3",,6,11,3001,"0270","右主机主轴承9温度",,1,5,3,6,
7,"左齿轮箱",,7,5,3001,"0305","左齿轮箱滑油压力-安保",,1,3,7,5,
7,"左齿轮箱",,7,6,3001,"0306","左齿轮箱滑油温度",,1,3,7,6,
7,"左齿轮箱",,7,7,3001,"0307","左齿轮箱正车推力滑动轴承温度",,1,3,7,7,
7,"左齿轮箱",,7,8,3001,"0308","左齿轮箱输出前滑动轴承温度",,1,3,7,8,
7,"左齿轮箱",,7,9,3001,"0309","左齿轮箱输出后滑动轴承温度",,1,3,7,9,
7,"左齿轮箱",,7,10,3001,"0310","左齿轮箱滑油压力低报警",,1,3,7,10,
7,"左齿轮箱",,7,11,3001,"0311","左齿轮箱滑油压力低压停机",,1,3,7,11,
7,"左齿轮箱",,7,12,3001,"0312","左齿轮箱滑油压力高备用泵停止",,1,3,7,12,
7,"左齿轮箱",,7,13,3001,"0313","左齿轮箱滑油压力低备用泵启动",,1,3,7,13,
7,"左齿轮箱",,7,14,3001,"0314","左齿轮箱滑油高温报警",,1,3,7,14,
7,"左齿轮箱",,7,15,3001,"0315","左齿正车推力滑动轴承温度高温报警",,1,3,7,15,
7,"左齿轮箱",,7,16,3001,"0316","左齿轮箱输出前滑动轴承温度报警",,1,3,7,16,
7,"左齿轮箱",,7,17,3001,"0317","左齿轮箱输出后滑动轴承温度报警",,1,3,7,17,
7,"左齿轮箱",,7,18,3001,"0318","左齿轮箱滤油器压差高报警",,1,3,7,18,
7,"左齿轮箱",,7,19,3001,"0319","左齿轮箱齿轮箱油位低报警",,1,3,7,19,
7,"左齿轮箱",,7,20,3001,"0320","左齿轮箱主离合器工作油压低报警",,1,3,7,20,
7,"左齿轮箱",,7,21,3001,"0321","左齿对外水泵离合器工作油压低报警",,1,3,7,21,
7,"左齿轮箱",,7,22,3001,"0322","左齿轮箱主离合器合脱排指示",,1,3,7,22,
7,"左齿轮箱",,7,23,3001,"0323","左齿轮箱对外水泵离合器合脱排指示",,1,3,7,23,
7,"左齿轮箱",,7,24,3001,"0324","左齿对外水泵离合器工作油压备泵停",,1,3,7,24,
7,"左齿轮箱",,7,25,3001,"0325","左齿对外水泵离合器工作油压低备泵启动",,1,3,7,25,
7,"左齿轮箱",,7,26,3001,"0326","左齿轮箱主离合器工作指示",,1,3,7,26,
7,"左齿轮箱",,7,27,3001,"0327","左齿轮箱对外水泵离合器工作指示",,1,3,7,27,
7,"左齿轮箱",,7,28,3001,"0328","左齿轮箱遥控指示",,1,3,7,28,
7,"左齿轮箱",,7,29,3001,"0329","左齿轮箱综合报警",,1,3,7,29,
7,"右齿轮箱",,8,1,3001,"0401","右齿轮箱主离合器工作油压力",,1,5,7,1,
7,"右齿轮箱",,8,2,3001,"0402","右齿轮箱PTO离合器工作油压力",,1,5,7,2,
7,"右齿轮箱",,8,3,3001,"0403","右齿轮箱滑油压力",,1,5,7,3,
7,"右齿轮箱",,8,4,3001,"0404","右齿轮箱滑油压力-报警",,1,5,7,4,
7,"右齿轮箱",,8,5,3001,"0405","右齿轮箱滑油压力-安保",,1,5,7,5,
7,"右齿轮箱",,8,6,3001,"0406","右齿轮箱滑油温度",,1,5,7,6,
7,"右齿轮箱",,8,7,3001,"0407","右齿轮箱正车推力滑动轴承温度",,1,5,7,7,
7,"右齿轮箱",,8,8,3001,"0408","右齿轮箱输出前滑动轴承温度",,1,5,7,8,
7,"右齿轮箱",,8,9,3001,"0409","右齿轮箱输出后滑动轴承温度",,1,5,7,9,
7,"右齿轮箱",,8,10,3001,"0410","右齿轮箱滑油压力低报警",,1,5,7,10,
7,"右齿轮箱",,8,11,3001,"0411","右齿轮箱滑油压力低压停机",,1,5,7,11,
7,"右齿轮箱",,8,12,3001,"0412","右齿轮箱滑油压力高备用泵停止",,1,5,7,12,
7,"右齿轮箱",,8,13,3001,"0413","右齿轮箱滑油压力低备用泵启动",,1,5,7,13,
7,"右齿轮箱",,8,14,3001,"0414","右齿轮箱滑油高温报警",,1,5,7,14,
7,"右齿轮箱",,8,15,3001,"0415","右齿正车推力滑动轴承温度高温报警",,1,5,7,15,
7,"右齿轮箱",,8,16,3001,"0416","右齿轮箱输出前滑动轴承温度报警",,1,5,7,16,
7,"右齿轮箱",,8,17,3001,"0417","右齿轮箱输出后滑动轴承温度报警",,1,5,7,17,
7,"右齿轮箱",,8,18,3001,"0418","右齿轮箱滤油器压差高报警",,1,5,7,18,
7,"右齿轮箱",,8,19,3001,"0419","右齿轮箱齿轮箱油位低报警",,1,5,7,19,
7,"右齿轮箱",,8,20,3001,"0420","右齿轮箱主离合器工作油压低报警",,1,5,7,20,
7,"右齿轮箱",,8,21,3001,"0421","右齿PTO离合器工作油压低报警",,1,5,7,21,
7,"右齿轮箱",,8,22,3001,"0422","右齿轮箱主离合器合脱排指示",,1,5,7,22,
7,"右齿轮箱",,8,23,3001,"0423","右齿轮箱PTO离合器合脱排指示",,1,5,7,23,
7,"右齿轮箱",,8,24,3001,"0424","右齿PTO离合器工作油压备泵停",,1,5,7,24,
7,"右齿轮箱",,8,25,3001,"0425","右齿PTO离合器工作油压低备泵启动",,1,5,7,25,
7,"右齿轮箱",,8,26,3001,"0426","右齿轮箱主离合器工作指示",,1,5,7,26,
7,"右齿轮箱",,8,27,3001,"0427","右齿轮箱PTO离合器工作指示",,1,5,7,27,
7,"右齿轮箱",,8,28,3001,"0428","右齿轮箱遥控指示",,1,5,7,28,
7,"右齿轮箱",,8,29,3001,"0429","右齿轮箱综合报警",,1,5,7,29,
7,"左发电机",,9,4,3001,"0504","左发电机电瓶电压",,1,3,6,4,
7,"左发电机",,9,5,3001,"0505","左发电机运行时间",,1,3,6,5,
7,"左发电机",,9,6,3001,"0506","左发电机滑油温度",,1,3,6,6,
7,"左发电机",,9,7,3001,"0510","左发电机组发电机U相绕组温度",,1,1,5,1,
7,"左发电机",,9,8,3001,"0511","左发电机组发电机V相绕组温度",,1,1,5,2,
7,"左发电机",,9,9,3001,"0512","左发电机组发电机W相绕组温度",,1,1,5,3,
7,"左发电机",,9,10,3001,"0513","左发电机组前端轴承温度",,1,1,5,4,
7,"左发电机",,9,11,3001,"0514","左发电机组后端轴承温度",,1,1,5,5,
7,"左发电机",,9,12,3001,"0515","左发电机淡水水位低报警",,1,3,6,10,
7,"左发电机",,9,13,3001,"0516","左发电机燃油泄漏报警",,1,3,6,11,
7,"左发电机",,9,14,3001,"0517","左发电机起动失败报警",,1,3,6,12,
7,"左发电机",,9,15,3001,"0518","左发电机电瓶电压低报警",,1,3,6,13,
7,"左发电机",,9,16,3001,"0519","左发电机滑油温度高报警",,1,3,6,14,
7,"左发电机",,9,17,3001,"0520","左发电机冷却水温度高报警",,1,3,6,15,
7,"左发电机",,9,18,3001,"0521","左发电机滑油压力低报警",,1,3,6,16,
7,"左发电机",,9,19,3001,"0522","左发电机转速高报警",,1,3,6,17,
7,"左发电机",,9,20,3001,"0523","左发电机淡水压力低报警",,1,3,6,18,
7,"左发电机",,9,21,3001,"0524","左发电机转速过高报警停机",,1,3,6,19,
7,"左发电机",,9,22,3001,"933","发电机充电装置故障报警",,1,1,1,13,
7,"右发电机",,10,1,3001,"0601","右发电机组转速",,1,5,6,1,
7,"右发电机",,10,2,3001,"0602","右发电机滑油压力",,1,5,6,2,
7,"右发电机",,10,3,3001,"0603","右发电机冷却水温度",,1,5,6,3,
7,"右发电机",,10,4,3001,"0604","右发电机电瓶电压",,1,5,6,4,
7,"右发电机",,10,5,3001,"0605","右发电机运行时间",,1,5,6,5,
7,"右发电机",,10,6,3001,"0606","右发电机滑油温度",,1,5,6,6,
7,"右发电机",,10,7,3001,"0610","右发电机组发电机U相绕组温度",,1,1,5,6,
7,"右发电机",,10,8,3001,"0611","右发电机组发电机V相绕组温度",,1,1,5,7,
7,"右发电机",,10,9,3001,"0612","右发电机组发电机W相绕组温度",,1,1,5,8,
7,"右发电机",,10,10,3001,"0613","右发电机组前端轴承温度",,1,1,5,9,
7,"右发电机",,10,11,3001,"0614","右发电机组后端轴承温度",,1,1,5,10,
7,"右发电机",,10,12,3001,"0615","右发电机淡水水位低报警",,1,5,6,10,
7,"右发电机",,10,13,3001,"0616","右发电机燃油泄漏报警",,1,5,6,11,
7,"右发电机",,10,14,3001,"0617","右发电机起动失败报警",,1,5,6,12,
7,"右发电机",,10,15,3001,"0618","右发电机电瓶电压低报警",,1,5,6,13,
7,"右发电机",,10,16,3001,"0619","右发电机滑油温度高报警",,1,5,6,14,
7,"其他2",,23,1,3001,"2021","机舱报警灯柱综合故障报警",,1,1,3,15,
7,"其他2",,23,2,3001,"2032","专用储藏室防盗及高温报警",,1,1,3,23,
7,"其他2",,23,3,3001,"2033","专用储藏室防盗及高温报警故障报警",,1,1,3,24,
7,"其他2",,23,4,3001,"2034","专用储藏室防盗及高温报警电源故障报警",,1,1,3,25,
7,"右发电机",,10,17,3001,"0620","右发电机冷却水温度高报警",,1,5,6,15,
7,"右发电机",,10,18,3001,"0621","右发电机滑油压力低报警",,1,5,6,16,
7,"右发电机",,10,19,3001,"0622","右发电机转速高报警",,1,5,6,17,
7,"右发电机",,10,20,3001,"0623","右发电机淡水压力低报警",,1,5,6,18,
7,"应急/轴带发电机",,11,1,3001,"0701","轴带发电机U相绕组温度",,1,2,5,1,
7,"应急/轴带发电机",,11,2,3001,"0702","轴带发电机V相绕组温度",,1,2,5,2,
7,"应急/轴带发电机",,11,3,3001,"0703","轴带发电机W相绕组温度",,1,2,5,3,
7,"应急/轴带发电机",,11,4,3001,"0704","轴带发电机前端轴承温度",,1,2,5,4,
7,"应急/轴带发电机",,11,5,3001,"0705","轴带发电机后端轴承温度",,1,2,5,5,
7,"液位1",,20,1,3001,"1817","应急发电机日用油柜液位低",,1,1,1,29,
7,"液位1",,20,2,3001,"1825","辅机舱左舷舭污水沟高液位报警",,1,1,1,30,
7,"液位1",,20,3,3001,"1826","辅机舱右舷舭污水沟高液位报警",,1,1,1,31,
7,"液位1",,20,4,3001,"1829","辅机舱直通吸口高液位报警",,1,1,1,32,
7,"液位1",,20,5,3001,"1835","污水处理装置间污水井液位高",,1,1,2,1,
7,"液位1",,20,6,3001,"1836","冷水机组室及空调器室污水井液位高",,1,1,2,2,
7,"液位1",,20,8,3001,"1837","储物舱液位高",,1,1,2,3,
7,"液位1",,20,9,3001,"1838","侧推舱液位高",,1,1,2,4,
7,"液位1",,20,10,3001,"1839","隔离空舱液位高",,1,1,2,5,
7,"液位1",,20,11,3001,"1840","锚链舱污水井液位高",,1,1,2,6,
7,"液位1",,20,13,3001,"1845","污水舱(右)液位高",,1,1,2,8,
7,"液位2",,21,5,3001,"1801","1号燃油舱液位高",,1,1,4,1,
7,"液位2",,21,6,3001,"1802","2号燃油舱液位高",,1,1,4,2,
7,"液位2",,21,7,3001,"1803","3号燃油舱液位高",,1,1,4,3,
7,"液位2",,21,15,3001,"1841","1号淡水舱液位",,1,1,4,4,
7,"液位1",,20,14,3001,"0805","左轴系可调桨重力油箱液位低",,1,2,1,1,
7,"液位1",,20,15,3001,"0905","右轴系可调桨重力油箱液位低",,1,2,1,2,
7,"液位1",,20,16,3001,"1814","滑油储存舱液位低",,1,2,2,9,
7,"液位1",,20,17,3001,"1815","滑油净油舱液位低",,1,2,2,10,
7,"液位1",,20,18,3001,"1816","滑油污油舱液位高",,1,2,2,11,
7,"液位1",,20,19,3001,"1818","油渣舱液位高",,1,2,2,12,
7,"液位1",,20,20,3001,"1819","左推进主机低温淡水膨胀箱液位低",,1,2,2,13,
7,"液位1",,20,21,3001,"1820","右推进主机低温淡水膨胀箱液位低",,1,2,2,14,
7,"液位1",,20,22,3001,"1821","左推进主机高温淡水膨胀箱液位低",,1,2,2,15,
7,"液位1",,20,23,3001,"1822","右推进主机高温淡水膨胀箱液位低",,1,2,2,16,
7,"液位1",,20,24,3001,"1823","主机舱左舷舭污水沟高液位报警",,1,2,2,17,
7,"液位1",,20,25,3001,"1824","主机舱右舷舭污水沟高液位报警",,1,2,2,18,
7,"液位1",,20,26,3001,"1827","主机舱左舷舭直通吸口高液位报警",,1,2,2,19,
7,"液位1",,20,27,3001,"1828","主机舱右舷舭直通吸口高液位报警",,1,2,2,20,
7,"液位2",,21,1,3001,"1830","舱底水舱高液位报警",,1,2,2,21,
7,"液位2",,21,2,3001,"1831","舵机舱液位高",,1,2,2,22,
7,"液位2",,21,3,3001,"1832","左轴隧液位高",,1,2,2,23,
7,"液位2",,21,4,3001,"1833","右轴隧液位高",,1,2,2,24,
7,"液位2",,21,8,3001,"1804","4号燃油舱液位高",,1,2,4,5,
7,"液位2",,21,9,3001,"1805","燃油过渡舱液位(左)",,1,2,4,6,
7,"液位2",,21,10,3001,"1806","燃油过渡舱液位(右)",,1,2,4,7,
7,"液位2",,21,11,3001,"1807","燃油日用舱(左)液位",,1,2,4,8,
7,"液位2",,21,12,3001,"1808","燃油日用舱(右)液位",,1,2,4,9,
7,"液位2",,21,13,3001,"1811","锅炉燃油日用油箱(左)液位",,1,2,4,10,
7,"液位2",,21,14,3001,"1812","锅炉燃油日用油箱(右)液位",,1,2,4,11,
7,"液位2",,21,16,3001,"1842","2号淡水舱(左)液位",,1,2,4,12,
7,"液位2",,21,17,3001,"1843","2号淡水舱(右)液位",,1,2,4,13,
7,"其他1",,22,1,3001,"1602","CO2泄漏报警",,1,1,1,16,
7,"其他1",,22,2,3001,"1603","CO2电源失电报警",,1,1,1,17,
7,"其他1",,22,3,3001,"1604","CO2施放报警",,1,1,1,18,
7,"其他1",,22,4,3001,"1608","火灾探测及报警系统综合故障",,1,1,1,19,
7,"其他1",,22,5,3001,"1609","火灾探测及报警系统机舱火警",,1,1,1,20,
7,"其他1",,22,6,3001,"1707","变频海水供水装置综合报警",,1,1,1,22,
7,"其他1",,22,7,3001,"1708","变频淡水供水装置综合报警",,1,1,1,23,
7,"其他1",,22,8,3001,"1709","变频饮水供水装置综合报警",,1,1,1,24,
7,"其他1",,22,9,3001,"1710","海水淡化装置供水泵运行",,1,1,1,25,
7,"其他1",,22,10,3001,"1711","海水淡化装置供水泵故障报警",,1,1,1,26,
7,"其他1",,22,11,3001,"1712","海水淡化装置运行指示",,1,1,1,27,
7,"其他1",,22,12,3001,"1714","海水淡化装置综合报警",,1,1,1,28,
7,"其他1",,22,13,3001,"1901","艏侧推运行指示",,1,1,2,10,
7,"其他1",,22,14,3001,"1902","艏侧推综合报警",,1,1,2,11,
7,"其他1",,22,15,3001,"1922","生活污水处理装置运行指示",,1,1,2,18,
7,"其他1",,22,16,3001,"1923","生活污水处理装置综合报警",,1,1,2,19,
7,"其他2",,23,5,3001,"2035","干舱进水监测综合故障报警",,1,1,3,26,
7,"其他1",,22,17,3001,"1926","中央空调冷水机组运行指示",,1,1,2,24,
7,"其他1",,22,18,3001,"1927","中央空调冷水机组综合报警",,1,1,2,25,
7,"其他1",,22,19,3001,"1932","伙食冷藏装置运行指示",,1,1,2,30,
7,"其他1",,22,20,3001,"1933","伙食冷藏装置综合报警",,1,1,2,31,
7,"其他1",,22,21,3001,"1934","减摇鳍（左）运行指示",,1,1,3,1,
7,"其他1",,22,22,3001,"1935","减摇鳍（左）综合报警",,1,1,3,2,
